n,Gauss,Doolittle,Crout,NumPy
10,0.001954880333263039,0.0009556096665619407,0.0009012900003047738,0.008222520333220018
20,0.010436226666873457,0.004332990333447621,0.004815276999882674,0.00015336033326699786
30,0.04129524299999806,0.012349926333020752,0.009788116333159754,6.779666667474278e-05
40,0.029527023000203673,0.0136319923337093,0.014253194000048097,6.80096666959192e-05
50,0.06731056933313084,0.03170107700043445,0.02567633866662315,8.061800023521452e-05
60,0.10484102200007328,0.04541761233334304,0.04942423899986655,0.00011876733303021562
70,0.16256582099989222,0.06554147899987584,0.07419348866642395,0.0009177800002362346
80,0.23236285166634238,0.10125744066651048,0.17395671533358836,0.0009928840002733825
90,0.44086747933367104,0.14996595266681348,0.14278825233335132,0.0018758356670029268
100,0.4388368933332458,0.1929143856665784,0.1934792850000425,0.001901505333383587
110,0.5797042953336131,0.24870038633343938,0.24376489733337317,0.003654476333091831
120,0.7329218876666346,0.3159797343332684,0.31776124899988645,0.0038380493333534105
130,0.9763944096669851,0.3956642543334965,0.3924241756664439,0.0035074583335396405
140,1.1544989153332306,0.493325897666485,0.48945491466656676,0.003139640333453523
150,1.4039181780002157,0.6019099723334875,0.6052456179998748,0.00545480966654092
160,1.7109170693332392,0.7247402246666752,0.7313288203334499,0.01215609200032001
170,2.0468579186669253,0.8621521669999007,0.876986205000018,0.0026188363335677423
180,2.411674353666664,1.0219746720000937,1.031490985333221,0.003748245666732449
190,2.837497100666345,1.1914339596666348,1.1947418256665212,0.0014345316667458974
200,3.284783918333536,1.3898712133335114,1.376267622999876,0.007177213666485234
210,3.7920872686666676,1.6057674343331503,1.5938793669999238,0.002611228000205301
220,4.394448930333662,1.8673497473334162,1.8487142523335933,0.004404661000383688
230,5.175035077333329,2.101380469999943,2.6169576076666394,0.0008300413334533611
240,6.38700662033322,2.386347952333381,2.3772911996666153,0.0014398933332510448
250,6.3691985743331925,2.789956103666858,2.7008508970002367,0.004534265333253036
260,7.418401834666535,3.0587286213331026,3.1334018536666313,0.0032040289997894433
270,8.282427558999794,3.4933329523337306,4.843866199333206,0.005573257333405006
280,11.5002757876667,4.2165228803335895,4.316473769999902,0.0033890933330743187
290,11.089158261332463,4.602622256666412,4.935119669999646,0.002541390333135496
300,12.948112997666007,5.52914709200013,6.891565173666701,0.0025707383326031654
