a,b,n,Rectangles,Trapezoidal,Simpson
-10,-2,2,0.010000608266884935,0.2723312009574177,0.18810062926704235
-10,-2,4,0.041659666926834045,0.17282496327210042,0.13965621737699466
-10,-2,6,0.06331640143804276,0.15075993233488702,0.13385962855192396
-10,-2,8,0.07708344172964472,0.14266608990227791,0.13261313211233705
-10,-2,10,0.08638058079555977,0.1388466993336663,0.13222975784358212
-10,-2,12,0.09302957703759882,0.13675134248602092,0.13208181253639892
-10,-2,14,0.09800482392875387,0.13548062288454424,0.1320152442889533
-10,-2,16,0.10186154792297505,0.13465287200929166,0.13198179937829624
-10,-2,18,0.10493613572774586,0.13408397936002728,0.13196354048943995
-10,-2,20,0.10744329312602724,0.13367635239508052,0.13195290341555188
-4,0,2,0.29841346699191845,1.271620058035634,1.022694055592024
-4,0,4,0.5656597493326514,1.0522630448545092,0.9791440404608008
-4,0,6,0.6049899486500019,0.9293921456645737,0.8696863980068972
-4,0,8,0.40009340679306116,0.6433950545539902,0.5071057244538171
-4,0,10,0.2498205598505397,0.4444618780592828,0.25685631475608767
-4,0,12,0.4715195992155292,0.6337206977228151,0.5351635484088956
-4,0,14,0.7227082159509122,0.8617377289571572,0.8816011855444722
-4,0,16,0.5770070897295266,0.6986579136099911,0.717078866628658
-4,0,18,0.28986227810806525,0.3979963437795892,0.3626602282003012
-4,0,20,0.25739106050466,0.3547117196090316,0.32479500012561446
-2,2,2,2.2448266490793496,7.5573578238846455,6.359842298407727
-2,2,4,0.5523788592145272,3.2086444466171753,1.7590733208613518
-2,2,6,0.6608594321151384,2.431703157050237,2.6544351401661777
-2,2,8,1.7377489506291175,3.0658817443304414,3.01829417690153
-2,2,10,1.4021364195842008,2.4646426545452598,2.265766318103756
-2,2,12,0.7790488024176762,1.6644706648852254,1.4087265008302217
-2,2,14,1.4683444932308727,2.2272775182030577,2.3058523617519304
-2,2,16,2.0285175725019235,2.6925839693525857,2.5681513776933
-2,2,18,1.6730077068734115,2.2632889485184444,2.431501698503796
-2,2,20,1.2546975391757949,1.7859506566563246,1.5597199906933459
0,4,2,12.869888998689941,63.8456010309236,49.822056270591055
0,4,4,23.648198982043027,49.13605499815985,44.23287298723861
0,4,6,29.420528321070886,46.41243233181544,44.06334769500984
0,4,8,33.85554410518351,46.59947211324193,45.75394448493595
0,4,10,35.66111669773708,45.85625910418381,45.437026405048876
0,4,12,36.1852730028379,44.68122500821018,44.10415590034175
0,4,14,37.62171423117438,44.90395880720776,44.3917043499309
0,4,16,39.08759467919649,45.459558683225694,45.07958753988695
0,4,18,39.61702883234183,45.280996835923354,44.89709716428795
0,4,20,39.71364534778711,44.81121655101047,44.46286903328602
2,10,2,1605.1472000207866,45381.15236204204,31309.683063541936
2,10,4,6809.64425283937,28697.646833849998,23136.478324452648
2,10,6,10400.41975518773,24992.421475861483,22154.88663009858
2,10,8,12690.690997609001,23634.692288114315,21947.040772869084
2,10,10,14239.530445027862,22994.731477432113,21884.628243210347
2,10,12,15347.944739211902,22643.94559954878,21861.12030744454
2,10,14,16177.628060465542,22431.343083611435,21850.765349545454
2,10,16,16820.912476260834,22292.91312151349,21845.653399313218
2,10,18,17333.802861384287,22197.80343494221,21842.901821604664
2,10,20,17752.07003397614,22129.670550178267,21841.31690776032
