a,b,n,Rectangles,Trapezoidal,Simpson,Gauss-Legendre

-5,-1,2,6.54243413282617,-0.6591469050579701,-1.192071313024605,-0.9126342958829392
-5,-1,3,3.9312823547368474,-0.8697716705192446,-,-1.030616739664977
-5,-1,4,2.661237340342071,-0.9395531785999989,-1.0330219364473419,-1.0264851168130193
-5,-1,5,1.9094148684924739,-0.9712175466611823,-,-1.0265613413349453

-2,0,2,-7.003073646534313,-5.184478792882949,-5.700241821409691,-5.640627926661523
-2,0,3,-6.665613683356616,-5.4532171142557075,-,-5.664794610963809
-2,0,4,-6.4553778736836716,-5.54608044685799,-5.666614331516336,-5.664586400645062
-2,0,5,-6.316295278468138,-5.588857337007593,-,-5.664587348852327

-1,1,2,-3.365883939231586,0.0,0.0,-4.440892098500626e-16
-1,1,3,-2.243922626154391,-6.661338147750939e-16,-,0.0
-1,1,4,-1.682941969615793,0.0,0.0,0.0
-1,1,5,-1.3463535756926337,4.440892098500626e-16,-,0.0

0,2,2,3.365883939231586,5.184478792882949,5.700241821409691,5.640627926661523
0,2,3,4.240820545154799,5.4532171142557075,-,5.664794610963809
0,2,4,4.636783020032308,5.54608044685799,5.666614331516336,5.664586400645062
0,2,5,4.861419395547048,5.588857337007593,-,5.664587348852327

1,5,2,7.86072794294211,0.6591469050579701,1.1920713130246048,0.9126342958829392
1,5,3,5.670825695775341,0.8697716705192482,-,1.0306167396649775
1,5,4,4.540343697542069,0.9395531785999989,1.033021936447342,1.026485116813019
1,5,5,3.851849961814835,0.9712175466611797,-,1.0265613413349448
