n,List,ListComprehension,Matrix,NumPy
5,3.622586999881605e-05,3.869340333343037e-05,0.0001473485600005612,9.859572666452247e-05
10,0.00021955808666765126,0.00020636141999906004,0.0011362888900021061,2.3290133382640006e-06
15,0.0007134079233340647,0.0006673500200001097,0.002891835776666388,2.2886199985805436e-06
20,0.0015308135433345644,0.0013650478500009434,0.006675086223334195,2.2080266656606306e-06
25,0.002830453833333498,0.0024324605233353694,0.012943959310002051,2.8434900044279246e-06
30,0.004866606169998704,0.004308346350001859,0.02540032845999728,3.4700666674325475e-06
35,0.009992301530000988,0.006119677946668768,0.04031993316666558,1.0182683333065749e-05
40,0.010894871169997107,0.008955336706664334,0.05490633355000076,5.916309995275999e-06
45,0.015410449983331395,0.012505747893334652,0.07401249136333414,7.778476668439302e-06
50,0.02091000523333302,0.017104872139998405,0.10144654189333475,8.399986669852904e-06
