a,b,n,Rectangles,Trapezoidal,Simpson
-10,-2,2,-12.743321198350948,-8.439730288094852,-1.7547469934013453
-10,-2,4,-29.81151119568591,-27.659715740557857,-34.06637755804552
-10,-2,6,-26.788826083525695,-25.354295780106995,-22.397740000327026
-10,-2,8,-25.84029017708994,-24.764392449525914,-23.799284685848598
-10,-2,10,-25.37826034844815,-24.517542166396932,-24.009158069829006
-10,-2,12,-25.10680655462956,-24.38954140292021,-24.06795661052461
-10,-2,14,-24.929103931434305,-24.31430522996915,-24.090166465971286
-10,-2,16,-24.80417784518218,-24.26622898140017,-24.100174492024923
-10,-2,18,-24.711780505558988,-24.23360373775275,-24.105252884641267
-10,-2,20,-24.640791174855885,-24.210432083830273,-24.10806205630805
-4,0,2,-12.168449206604695,-6.5701618972602445,-7.694690990117358
-4,0,4,-7.75142297306498,-4.9522793183927565,-4.412985125436926
-4,0,6,-6.651398073645261,-4.785302303863777,-4.636195055452981
-4,0,8,-6.131748085338886,-4.732176258002774,-4.658808571206113
-4,0,10,-5.828080999891144,-4.708423538022255,-4.6641041193181145
-4,0,12,-5.628781683204022,-4.695733798313279,-4.665877629796448
-4,0,14,-5.487908585821097,-4.68815325591475,-4.66660944088974
-4,0,16,-5.3830473394407345,-4.683261425772677,-4.666956481695978
-4,0,18,-5.30195227183109,-4.679920348570596,-4.6671383894120675
-4,0,20,-5.237365555004193,-4.6775368240697475,-4.667241252752247
-2,2,2,-0.971874587915794,2.33541265381143,4.2236084358742865
-2,2,4,1.675271929514662,3.328915550378274,3.6600831825672224
-2,2,6,2.3990413615745676,3.501470442150309,3.64140264730552
-2,2,8,2.7342754918734826,3.5610973023052885,3.638491219614293
-2,2,10,2.9271065792575377,3.588564027602983,3.63771701791759
-2,2,12,3.052234953011953,3.603449493299823,3.637442510349662
-2,2,14,3.1399435849975816,3.612413190958614,3.6373256818343775
-2,2,16,3.2048153432669833,3.618226248482886,3.6372692305420853
-2,2,18,3.2547331545050198,3.6222095146969324,3.6372392754078366
-2,2,20,3.2943289270897402,3.625057651262462,3.6372221924822887
0,4,2,5.642699895538654,4.6264127214286574,4.179408411311541
0,4,4,2.6897875546027383,2.1816439675477395,1.3667210495874333
0,4,6,2.2098129997054254,1.8710506083354268,1.6054786709118145
0,4,8,2.022369297548457,1.7682975040209574,1.6305153495120295
0,4,10,1.9249418371765474,1.721684402354548,1.6364552607978957
0,4,12,1.8659867794100296,1.6966055837250298,1.638457242188231
0,4,14,1.8267484944932706,1.681564612477557,1.6392862889156312
0,4,16,1.798870508100452,1.671834611336702,1.6396803137752833
0,4,18,1.778099083989752,1.6651782868664171,1.6398871529600834
0,4,20,1.7620529937329747,1.660424276321975,1.6400042343111172
2,10,2,12.84051457949033,13.760707949511946,15.54388182528331
2,10,4,23.466958648877792,23.927055333888603,27.31583779534749
2,10,6,20.122164488037377,20.428895611377914,16.455865736006523
2,10,8,19.21378062897152,19.443828971476922,17.949420184006364
2,10,10,18.83362895021326,19.017667624217584,18.18157514236305
2,10,12,18.639820069516393,18.793185631186663,18.247948971122906
2,10,14,18.52862682906681,18.660083024784182,18.273310241997297
2,10,16,18.459548184532164,18.574572355784866,18.284820150554182
2,10,18,18.414094158265904,18.516337866046076,18.290688335282265
2,10,20,18.382856402740263,18.474875739742423,18.293945111584037
