a,b,n,Rectangles,Trapezoidal,Simpson,Gauss-Legendre

-5,-1,2,-916.0,-544.0,-472.0,-471.99999999999994
-5,-1,3,-752.0,-504.0,-,-472.0
-5,-1,4,-676.0,-490.0,-472.0,-471.99999999999994
-5,-1,5,-632.3199999999999,-483.52,-,-472.0

-2,0,2,-29.0,-17.0,-14.0,-13.999999999999998
-2,0,3,-23.333333333333332,-15.333333333333336,-,-14.000000000000002
-2,0,4,-20.75,-14.75,-14.0,-13.999999999999998
-2,0,5,-19.28,-14.48,-,-13.999999999999996

-1,1,2,-5.0,-2.0,-2.0,-2.0000000000000004
-1,1,3,-4.0,-2.0,-,-2.0
-1,1,4,-3.5,-2.0,-2.0,-2.000000000000001
-1,1,5,-3.2,-2.0,-,-2.0

0,2,2,1.0,13.0,10.0,9.999999999999998
0,2,3,3.3333333333333317,11.33333333333333,-,10.000000000000002
0,2,4,4.75,10.75,10.0,9.999999999999998
0,2,5,5.680000000000003,10.480000000000004,-,9.999999999999998

1,5,2,164.0,536.0,464.0,463.99999999999994
1,5,3,247.99999999999991,495.99999999999994,-,464.0
1,5,4,296.0,482.0,464.0,464.0
1,5,5,326.7200000000001,475.5200000000001,-,463.9999999999999
